Date,Open,High,Low,Close,Volume
3/19/2024,148.160004,148.789993,146.080002,147.029999,24070400
3/20/2024,148,148.860001,146.740005,148.740005,21311500
3/21/2024,149.470001,150.369995,146.899994,147.600006,24755600
3/22/2024,149.119995,151.580002,148.979996,150.770004,29175700
3/25/2024,149.940002,150.380005,147.820007,150.070007,19229300
3/26/2024,150.220001,152.259995,149.979996,150.669998,22149100
3/27/2024,151.179993,151.639999,148.899994,150.869995,22879200
3/28/2024,150.850006,151.429993,150.169998,150.929993,24485400
4/1/2024,150.690002,155.740005,150.610001,155.490005,31730800
4/2/2024,153.5,154.699997,152.149994,154.559998,24586000
4/3/2024,153.600006,155.080002,152.729996,154.919998,24705000
4/4/2024,153.5,154.770004,150.449997,150.529999,34724700
4/5/2024,150.029999,153.419998,149.600006,152.5,23449300
4/8/2024,152.779999,155.270004,152.610001,154.850006,20702000
4/9/2024,156.089996,158.559998,155.190002,156.600006,31113000
4/10/2024,156.210007,156.610001,154.679993,156.139999,22838600
4/11/2024,156.910004,159.679993,156.460007,159.410004,27166400
4/12/2024,157.960007,160.220001,157.139999,157.729996,25329200
4/15/2024,158.860001,159.240005,154.589996,154.860001,27136500
4/16/2024,154.190002,155.649994,153.429993,154.399994,20779500
4/17/2024,155.619995,157.080002,154.580002,155.470001,21763100
4/18/2024,155.339996,156.940002,154.619995,156.009995,19883000
4/19/2024,156.199997,156.360001,152.300003,154.089996,32239100
4/22/2024,154.309998,157.639999,154.059998,156.279999,26446200
4/23/2024,156.960007,158.970001,156.279999,158.259995,21151600
4/24/2024,157.490005,159.570007,157.169998,159.130005,22779100
4/25/2024,151.330002,156.490005,150.869995,156,57109700
4/26/2024,174.369995,174.710007,169.649994,171.949997,64665300
4/29/2024,169.059998,169.550003,165.210007,166.149994,45610000
4/30/2024,165.610001,168.100006,162.600006,162.779999,33562900
5/1/2024,164.300003,167.119995,163.089996,163.860001,33493200
5/2/2024,164.789993,166.729996,163.889999,166.619995,24294500
5/3/2024,167.559998,167.960007,163.050003,167.240005,34662400
5/6/2024,167.460007,168.139999,166.029999,168.100006,21846000
05/17/2024,184.759995,168.100006,168.100006,168.100006,21843415
05/17/2024,184.759995,168.100006,168.100006,168.100006,21843528
05/19/2024,184.759995,168.100006,168.100006,168.100006,21843756
05/19/2024,184.759995,168.100006,168.100006,168.100006,21843756
05/19/2024,184.759995,168.100006,168.100006,168.100006,21843756
05/19/2024,184.759995,168.100006,168.100006,168.100006,21843756
05/19/2024,184.759995,168.100006,168.100006,168.100006,21843756
05/19/2024,400.0,1234.0,13.0,1223.0,3455
